total_purchase_count,average_order_value,days_since_first_purchase,days_since_last_purchase,product_category_diversity,loyalty_program_membership,estimated_lifetime_value
2.02,152.89,472.9,165.45,0.18,Enrolled,559.08
21.24,123.06,963.61,117.34,0.758,Not Enrolled,922.13
3.56,32.94,113.47,33.3,0.125,Not Enrolled,245.41
0.61,40.75,180.19,203.04,0.152,Enrolled,116.41
11.02,168.99,237.51,28.71,0.298,Not Enrolled,1174.16
9.13,119.57,249.1,8.61,0.295,Not Enrolled,2004.16
1.45,56.66,200.63,82.52,0.265,Not Enrolled,286.87
1.77,52.26,362.27,186.73,0.274,Not Enrolled,191.98
6.66,226.43,439.5,98.68,0.503,Not Enrolled,869.55
5.07,52.64,161.83,17.04,0.212,Enrolled,763.26
0.823,42.05,430.92,244.35,0.294,Enrolled,153.81
7.77,274.75,122.71,8.62,0.574,Not Enrolled,2109.22
1.21,28.6,49.76,34.55,0.17,Enrolled,187.87
4.12,116.19,207.03,15.54,0.379,Not Enrolled,1300.38
1.02,73.3,287.42,273.0,0.0306,Enrolled,145.16
6.29,35.52,274.16,36.04,0.413,Enrolled,514.91
1.37,94.3,84.44,42.07,0.162,Not Enrolled,362.21
17.66,125.06,582.1,72.36,0.441,Not Enrolled,871.72
1.98,203.59,405.73,199.21,0.357,Not Enrolled,411.55
10.38,165.77,486.06,34.0,0.397,Not Enrolled,1721.38
6.41,67.65,690.82,91.6,0.159,Not Enrolled,633.23
1.25,375.52,118.04,47.95,0.208,Not Enrolled,843.83
4.02,101.21,854.54,374.47,0.314,Not Enrolled,224.6
3.58,53.54,384.0,86.28,0.11,Not Enrolled,373.58
2.59,66.4,190.92,101.63,0.162,Enrolled,275.67
16.51,30.73,1090.96,183.46,0.488,Not Enrolled,302.48
1.28,34.24,45.69,36.9,0.119,Enrolled,222.95
9.63,72.82,393.9,54.94,0.628,Not Enrolled,703.98
9.69,154.83,654.06,133.04,0.446,Not Enrolled,657.66
2.96,127.33,552.21,178.04,0.137,Enrolled,456.48
1.64,39.15,231.5,125.0,0.0318,Enrolled,180.64
1.78,26.15,247.82,119.77,0.253,Enrolled,169.23
7.17,79.37,77.83,2.08,0.236,Not Enrolled,1728.6
0.941,116.93,561.28,372.21,0.14,Not Enrolled,182.77
13.37,81.78,577.5,112.36,0.482,Not Enrolled,518.33
14.43,65.53,770.56,40.32,0.175,Not Enrolled,1282.62
14.37,66.14,627.87,122.76,0.354,Enrolled,490.38
9.42,158.24,342.93,34.16,0.552,Not Enrolled,1292.14
3.86,92.74,826.35,200.94,0.223,Not Enrolled,424.78
15.72,97.82,696.63,58.59,0.351,Not Enrolled,1062.5
2.02,44.08,373.52,193.74,0.402,Not Enrolled,160.19
6.08,154.2,331.29,55.9,0.321,Not Enrolled,816.91
45.01,37.67,801.15,62.47,0.783,Not Enrolled,655.17
8.8,95.72,961.01,247.86,0.419,Not Enrolled,362.38
11.03,164.49,250.81,11.73,0.172,Not Enrolled,1765.73
2.27,71.23,81.73,30.21,0.0282,Enrolled,407.48
1.52,17.88,145.31,125.19,0.199,Enrolled,86.88
6.35,48.3,251.61,53.16,0.456,Not Enrolled,340.21
2.41,145.81,148.98,42.52,0.215,Not Enrolled,598.72
3.6,51.34,69.13,30.25,0.403,Enrolled,334.44
9.37,147.58,844.31,139.32,0.129,Not Enrolled,774.7
2.82,261.21,442.79,130.84,0.352,Not Enrolled,730.65
1.23,33.54,133.91,79.61,0.167,Enrolled,194.82
5.11,85.71,281.78,77.73,0.222,Enrolled,520.79
45.64,79.23,735.61,17.71,0.215,Not Enrolled,2272.86
1.52,90.2,315.32,142.09,0.0789,Not Enrolled,295.73
1.78,51.32,241.2,136.63,0.148,Not Enrolled,191.77
9.75,97.25,405.16,40.51,0.508,Enrolled,1242.29
26.75,141.33,215.48,4.12,0.555,Not Enrolled,2399.85
16.97,59.35,232.76,9.83,0.214,Not Enrolled,1010.94
7.04,69.2,199.2,62.35,0.414,Enrolled,445.93
9.12,124.35,167.16,17.21,0.343,Enrolled,1308.47
16.48,76.85,274.52,15.15,0.582,Not Enrolled,1234.11
1.74,47.95,53.51,10.58,0.119,Not Enrolled,478.96
9.23,78.79,167.32,19.79,0.382,Not Enrolled,794.15
4.56,105.22,305.57,66.53,0.354,Not Enrolled,642.04
16.36,42.81,213.28,18.49,0.111,Not Enrolled,597.52
10.96,68.25,349.34,39.51,0.269,Not Enrolled,732.05
6.37,88.36,587.01,190.52,0.26,Not Enrolled,318.48
5.21,179.47,862.21,195.69,0.545,Not Enrolled,708.34
4.18,55.46,415.46,116.14,0.349,Not Enrolled,335.32
3.18,55.02,419.62,50.27,0.12,Not Enrolled,614.42
16.85,85.49,293.28,44.24,0.506,Not Enrolled,621.47
4.26,22.15,160.55,72.79,0.0957,Enrolled,166.06
2.21,53.7,117.2,73.73,0.218,Enrolled,263.36
5.36,159.64,220.66,67.33,0.543,Not Enrolled,613.99
9.42,71.89,298.16,11.57,0.574,Not Enrolled,1433.15
